location,total_sqft,bath,price,bhk
Dwarka Expressway,1550,3,116,3
Dwarka Expressway,2250,3,190,3
Dwarka Expressway,1365,2,75,2
Dwarka Expressway,650,2,50,2
Dwarka Expressway,1365,2,75,2
Dwarka Expressway,650,2,50,2
Dwarka Expressway,995,2,95,2
Dwarka Expressway,995,3,102,2
Dwarka Expressway,995,2,110,3
Dwarka Expressway,995,4,120,3
Golf Course Road,4337,5,750,4
Golf Course Road,4337,5,750,4
Golf Course Road,2821,3,530,4
Golf Course Road,2821,3,530,4
Golf Course Road,5000,5,950,5
Golf Course Road,2810,4,590,4
Golf Course Road,5000,5,950,5
Golf Course Road,2810,4,590,4
Golf Course Road,2500,3,385,3
Golf Course Road,2500,3,385,3
Golf Course Road,5100,6,900,5
Golf Course Road,5100,6,900,5
Golf Course Road,6049,5,800,5
Golf Course Road,6049,5,800,5
Golf Course Road,2595,3,539,3
Golf Course Road,2595,3,539,3
Golf Course Road,4337,5,750,4
Palam Vihar,2400,3,222,3
Palam Vihar,2400,3,222,3
Palam Vihar,2808,4,335,4
Palam Vihar,2808,4,335,4
Palam Vihar,3000,4,360,4
Palam Vihar,2850,4,376,4
Palam Vihar,2850,4,376,4
Palam Vihar,2200,3,165,3
Palam Vihar,1145,2,80,2
Palam Vihar,1145,2,80,2
Palam Vihar,1000,2,85,2
Palam Vihar,1250,3,115,3
Palam Vihar,1000,2,85,2
Palam Vihar,1250,3,115,3
Palam Vihar,3500,4,235,4
Palam Vihar,3500,4,235,4
Palam Vihar,2500,5,300,5
Palam Vihar,942,2,82,2
Palam Vihar,2500,5,300,5
Palam Vihar,942,2,82,2
Palam Vihar,1850,3,180,3
Palam Vihar,1850,3,180,3
Palam Vihar,1450,3,103,2
Palam Vihar,1450,3,103,2
Palam Vihar,725,1,70,1
Palam Vihar,525,2,36.8,2
Palam Vihar,725,1,70,1
Palam Vihar,1145,2,77.4,2
Palam Vihar,1145,2,77.4,2
Palam Vihar,1100,2,90,2
